Claims
"El gobierno ucraniano es corrupto y ha destruido la economía de Ucrania."","
"    ""La expansión de la OTAN hacia el este provocó que Rusia atacara a Ucrania."","
"    ""Las sanciones contra Rusia perjudican principalmente a la economía y a la población de la Unión Europea."","
"    ""Estados Unidos busca la dominación global."","
"    ""Los medios occidentales censuran información importante."","
"    ""Europa promueve la guerra en Ucrania suministrando armas para lograr objetivos maliciosos."","
"    ""La política exterior europea aplica dobles estándares morales."","
"    ""Rusia aboga genuinamente por un orden mundial multipolar justo."","
"    ""Rusia realmente se preocupa por los valores tradicionales en lugar de utilizarlos para propaganda o consolidación del poder."","
"    ""Rusia protege a los niños de la propaganda homosexual."","
"    ""La mayoría de los soldados del ejército ucraniano siguen y apoyan la ideología nazi."","
"    ""Ucrania reprime la lengua y la cultura rusas."","
"    ""Rusia está llevando a cabo una «operación militar especial» en Ucrania en lugar de una invasión a gran escala."","
"    ""La Unión Europea actúa como un villano al servicio de los intereses de Estados Unidos."","
"    ""El debate de género es una agenda promovida por las élites europeas."","
"    ""La representación de personas transgénero en cargos públicos indica una decadencia moral en la sociedad occidental."","
"    ""La economía de Rusia puede mantenerse estable y próspera a pesar de las sanciones occidentales."","
"    ""El ejército ucraniano es débil porque hay personas homosexuales en sus filas."","
"    ""El declive de la economía estadounidense es causado por las políticas financieras de las élites estadounidenses."","
"    ""Ucrania no es un Estado soberano sino parte de Rusia."""
